model_id,lab,country_iso3,date,workload_input_tokens,workload_output_tokens,input_usd_per_mtok,output_usd_per_mtok,workload_cost_usd,gni_per_capita_atlas_usd,gni_year,monthly_gni_pc_usd,intelligence_share_pct,basket_multiplier,basket_share_pct,fx_rate_local_per_usd,fx_rate_type,fx_date,fx_source,workload_cost_local,currency,hourly_minimum_wage_local,minimum_wage_date,min_wage_hours,basket_min_wage_hours,evidence_status,temporal_status,headline_eligible,weakest_input,formula_version,compiled
Claude Fable 5.1,Anthropic,NGA,2026-09-01,1000000,250000,10.0,50.0,22.5,1360.0,2025,113.3333,19.8529,20,397.0588,1330.7027,official,2026-09-18,Central Bank of Nigeria,29940.8108,NGN,403.92,2024-05-01,74.1256,1482.51,derived,measured,False,minimum-wage source is industry_body,A-1.0,2026-09-21
Claude Fable 5.1,Anthropic,KEN,2026-09-01,1000000,250000,10.0,50.0,22.5,2200.0,2025,183.3333,12.2727,20,245.4545,129.49,official,2026-09-18,Central Bank of Kenya,2913.525,KES,92.55,2026-05-01,31.4806,629.61,derived,measured,True,,A-1.0,2026-09-21
Claude Fable 5.1,Anthropic,ZAF,2026-09-01,1000000,250000,10.0,50.0,22.5,6270.0,2025,522.5,4.3062,20,86.1244,16.2057,official,2026-09-21,South African Reserve Bank,364.6282,ZAR,30.23,2026-03-01,12.0618,241.24,derived,measured,True,,A-1.0,2026-09-21
Claude Fable 5.1,Anthropic,GHA,2026-09-01,1000000,250000,10.0,50.0,22.5,2630.0,2025,219.1667,10.2662,20,205.3232,11.48,official,2026-09-21,Yahoo Finance (USDGHS=X),258.3,GHS,2.72,2026-01-01,94.9632,1899.26,derived,measured,False,minimum-wage source is trade_reporting,A-1.0,2026-09-21
Claude Fable 5.1,Anthropic,EGY,2026-09-01,1000000,250000,10.0,50.0,22.5,3260.0,2025,271.6667,8.2822,20,165.6442,51.8636,official,2026-09-21,Central Bank of Egypt,1166.931,EGP,33.65,2025-03-01,34.6785,693.57,derived,measured,True,,A-1.0,2026-09-21
Claude Fable 5.1,Anthropic,MAR,2026-09-01,1000000,250000,10.0,50.0,22.5,4360.0,2025,363.3333,6.1927,20,123.8532,9.5119,official,2026-09-18,Bank Al-Maghrib,214.0178,MAD,17.92,2026-01-01,11.943,238.86,derived,measured,True,,A-1.0,2026-09-21
Claude Fable 5.1,Anthropic,ETH,2026-09-01,1000000,250000,10.0,50.0,22.5,1110.0,2025,92.5,24.3243,20,486.4865,160.649994,official,2026-09-18,Yahoo Finance (USDETB=X),3614.6249,ETB,,,,,derived,measured,False,no statutory minimum wage,A-1.0,2026-09-21
Claude Fable 5.1,Anthropic,RWA,2026-09-01,1000000,250000,10.0,50.0,22.5,1150.0,2025,95.8333,23.4783,20,469.5652,1467.849976,official,2026-09-21,Yahoo Finance (USDRWF=X),33026.6245,RWF,,,,,derived,measured,False,no statutory minimum wage,A-1.0,2026-09-21
Claude Fable 5.1,Anthropic,SEN,2026-09-01,1000000,250000,10.0,50.0,22.5,1780.0,2025,148.3333,15.1685,20,303.3708,572.39,official,2026-09-18,BCEAO (Central Bank of West African States),12878.775,XOF,370.526,2023-07-01,34.7581,695.16,derived,measured,False,minimum-wage source is trade_reporting,A-1.0,2026-09-21
Claude Fable 5.1,Anthropic,CIV,2026-09-01,1000000,250000,10.0,50.0,22.5,2780.0,2025,231.6667,9.7122,20,194.2446,572.39,official,2026-09-18,BCEAO (Central Bank of West African States),12878.775,XOF,432.78,2023-01-01,29.7582,595.16,derived,measured,False,minimum-wage source is industry_body,A-1.0,2026-09-21
GPT-6 Astra,OpenAI,NGA,2026-09-03,1000000,250000,10.0,50.0,22.5,1360.0,2025,113.3333,19.8529,20,397.0588,1330.7027,official,2026-09-18,Central Bank of Nigeria,29940.8108,NGN,403.92,2024-05-01,74.1256,1482.51,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
GPT-6 Astra,OpenAI,KEN,2026-09-03,1000000,250000,10.0,50.0,22.5,2200.0,2025,183.3333,12.2727,20,245.4545,129.49,official,2026-09-18,Central Bank of Kenya,2913.525,KES,92.55,2026-05-01,31.4806,629.61,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
GPT-6 Astra,OpenAI,ZAF,2026-09-03,1000000,250000,10.0,50.0,22.5,6270.0,2025,522.5,4.3062,20,86.1244,16.2057,official,2026-09-21,South African Reserve Bank,364.6282,ZAR,30.23,2026-03-01,12.0618,241.24,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
GPT-6 Astra,OpenAI,GHA,2026-09-03,1000000,250000,10.0,50.0,22.5,2630.0,2025,219.1667,10.2662,20,205.3232,11.48,official,2026-09-21,Yahoo Finance (USDGHS=X),258.3,GHS,2.72,2026-01-01,94.9632,1899.26,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
GPT-6 Astra,OpenAI,EGY,2026-09-03,1000000,250000,10.0,50.0,22.5,3260.0,2025,271.6667,8.2822,20,165.6442,51.8636,official,2026-09-21,Central Bank of Egypt,1166.931,EGP,33.65,2025-03-01,34.6785,693.57,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
GPT-6 Astra,OpenAI,MAR,2026-09-03,1000000,250000,10.0,50.0,22.5,4360.0,2025,363.3333,6.1927,20,123.8532,9.5119,official,2026-09-18,Bank Al-Maghrib,214.0178,MAD,17.92,2026-01-01,11.943,238.86,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
GPT-6 Astra,OpenAI,ETH,2026-09-03,1000000,250000,10.0,50.0,22.5,1110.0,2025,92.5,24.3243,20,486.4865,160.649994,official,2026-09-18,Yahoo Finance (USDETB=X),3614.6249,ETB,,,,,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
GPT-6 Astra,OpenAI,RWA,2026-09-03,1000000,250000,10.0,50.0,22.5,1150.0,2025,95.8333,23.4783,20,469.5652,1467.849976,official,2026-09-21,Yahoo Finance (USDRWF=X),33026.6245,RWF,,,,,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
GPT-6 Astra,OpenAI,SEN,2026-09-03,1000000,250000,10.0,50.0,22.5,1780.0,2025,148.3333,15.1685,20,303.3708,572.39,official,2026-09-18,BCEAO (Central Bank of West African States),12878.775,XOF,370.526,2023-07-01,34.7581,695.16,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
GPT-6 Astra,OpenAI,CIV,2026-09-03,1000000,250000,10.0,50.0,22.5,2780.0,2025,231.6667,9.7122,20,194.2446,572.39,official,2026-09-18,BCEAO (Central Bank of West African States),12878.775,XOF,432.78,2023-01-01,29.7582,595.16,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
Gemini 3.8 Flash,Google,NGA,2026-09-02,1000000,250000,0.75,3.75,1.6875,1360.0,2025,113.3333,1.489,20,29.7794,1330.7027,official,2026-09-18,Central Bank of Nigeria,2245.5608,NGN,403.92,2024-05-01,5.5594,111.19,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
Gemini 3.8 Flash,Google,KEN,2026-09-02,1000000,250000,0.75,3.75,1.6875,2200.0,2025,183.3333,0.9205,20,18.4091,129.49,official,2026-09-18,Central Bank of Kenya,218.5144,KES,92.55,2026-05-01,2.361,47.22,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
Gemini 3.8 Flash,Google,ZAF,2026-09-02,1000000,250000,0.75,3.75,1.6875,6270.0,2025,522.5,0.323,20,6.4593,16.2057,official,2026-09-21,South African Reserve Bank,27.3471,ZAR,30.23,2026-03-01,0.9046,18.09,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
Gemini 3.8 Flash,Google,GHA,2026-09-02,1000000,250000,0.75,3.75,1.6875,2630.0,2025,219.1667,0.77,20,15.3992,11.48,official,2026-09-21,Yahoo Finance (USDGHS=X),19.3725,GHS,2.72,2026-01-01,7.1222,142.44,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
