provider,product,tier,price_usd_month,local_price_available,local_price_amount,local_currency,students_or_regional_discount,country_iso3,monthly_gni_pc_usd,subscription_share_pct,evidence_status,temporal_status,headline_eligible,weakest_input,source_url,formula_version,compiled
OpenAI,ChatGPT,Free,0,no,,,no,NGA,113.3333,0.0,derived,measured,True,,https://chatgpt.com/pricing/,C-1.0,2026-09-21
OpenAI,ChatGPT,Free,0,no,,,no,KEN,183.3333,0.0,derived,measured,True,,https://chatgpt.com/pricing/,C-1.0,2026-09-21
OpenAI,ChatGPT,Free,0,no,,,no,ZAF,522.5,0.0,derived,measured,True,,https://chatgpt.com/pricing/,C-1.0,2026-09-21
OpenAI,ChatGPT,Free,0,no,,,no,GHA,219.1667,0.0,derived,measured,True,,https://chatgpt.com/pricing/,C-1.0,2026-09-21
OpenAI,ChatGPT,Free,0,no,,,no,EGY,271.6667,0.0,derived,measured,True,,https://chatgpt.com/pricing/,C-1.0,2026-09-21
OpenAI,ChatGPT,Free,0,no,,,no,MAR,363.3333,0.0,derived,measured,True,,https://chatgpt.com/pricing/,C-1.0,2026-09-21
OpenAI,ChatGPT,Free,0,no,,,no,ETH,92.5,0.0,derived,measured,True,,https://chatgpt.com/pricing/,C-1.0,2026-09-21
OpenAI,ChatGPT,Free,0,no,,,no,RWA,95.8333,0.0,derived,measured,True,,https://chatgpt.com/pricing/,C-1.0,2026-09-21
OpenAI,ChatGPT,Free,0,no,,,no,SEN,148.3333,0.0,derived,measured,True,,https://chatgpt.com/pricing/,C-1.0,2026-09-21
OpenAI,ChatGPT,Free,0,no,,,no,CIV,231.6667,0.0,derived,measured,True,,https://chatgpt.com/pricing/,C-1.0,2026-09-21
OpenAI,ChatGPT,Go,8,yes,7000,NGN,yes,NGA,113.3333,7.0588,derived,measured,True,,https://openai.com/index/introducing-chatgpt-go/,C-1.0,2026-09-21
OpenAI,ChatGPT,Go,8,yes,7000,NGN,yes,KEN,183.3333,4.3636,derived,measured,True,,https://openai.com/index/introducing-chatgpt-go/,C-1.0,2026-09-21
OpenAI,ChatGPT,Go,8,yes,7000,NGN,yes,ZAF,522.5,1.5311,derived,measured,True,,https://openai.com/index/introducing-chatgpt-go/,C-1.0,2026-09-21
OpenAI,ChatGPT,Go,8,yes,7000,NGN,yes,GHA,219.1667,3.6502,derived,measured,True,,https://openai.com/index/introducing-chatgpt-go/,C-1.0,2026-09-21
OpenAI,ChatGPT,Go,8,yes,7000,NGN,yes,EGY,271.6667,2.9448,derived,measured,True,,https://openai.com/index/introducing-chatgpt-go/,C-1.0,2026-09-21
OpenAI,ChatGPT,Go,8,yes,7000,NGN,yes,MAR,363.3333,2.2018,derived,measured,True,,https://openai.com/index/introducing-chatgpt-go/,C-1.0,2026-09-21
OpenAI,ChatGPT,Go,8,yes,7000,NGN,yes,ETH,92.5,8.6486,derived,measured,True,,https://openai.com/index/introducing-chatgpt-go/,C-1.0,2026-09-21
OpenAI,ChatGPT,Go,8,yes,7000,NGN,yes,RWA,95.8333,8.3478,derived,measured,True,,https://openai.com/index/introducing-chatgpt-go/,C-1.0,2026-09-21
OpenAI,ChatGPT,Go,8,yes,7000,NGN,yes,SEN,148.3333,5.3933,derived,measured,True,,https://openai.com/index/introducing-chatgpt-go/,C-1.0,2026-09-21
OpenAI,ChatGPT,Go,8,yes,7000,NGN,yes,CIV,231.6667,3.4532,derived,measured,True,,https://openai.com/index/introducing-chatgpt-go/,C-1.0,2026-09-21
OpenAI,ChatGPT,Plus,20,yes,31500,NGN,unclear,NGA,113.3333,17.6471,derived,measured,True,,https://chatgpt.com/pricing/,C-1.0,2026-09-21
OpenAI,ChatGPT,Plus,20,yes,31500,NGN,unclear,KEN,183.3333,10.9091,derived,measured,True,,https://chatgpt.com/pricing/,C-1.0,2026-09-21
